ID,reviews,date,nps_score,clinic,city,state,polarity_score,label,nps_label,timestamp
a2p1U000000RowfQAC,i showed up for my appointment  but they had me double booked  so we didn t get to meet with the doctor for very long  and had an expedited visit  the doctor and staff were extremely friendly and apologized  and the office environment was very nice ,20-08-2018,7,Grand Junction Trailhead Clinic,Grand Junction,CO,0.922,Positive,Passive,1534703400.0
a2p1U000000RqQqQAK,staff was polite  courteous  and on time,30-04-2015,8,Arvada City of Arvada Clinic,Arvada,CO,0.5106,Positive,Passive,1430332200.0
a2p1U000000RqXyQAK,overall care is great   it s wonderful to be able to spend       minutes with the actual dr ,20-08-2015,8,Arvada City of Arvada Clinic,Arvada,CO,0.9001,Positive,Passive,1440009000.0
a2p1U000000Rq1LQAS,like the doctor and staff at this location  easy to get any appointment ,18-03-2018,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.6597,Positive,Passive,1521311400.0
a2p1U000000RpiuQAC,the convenience and the doctors,08-11-2017,8,Federal Way 32nd Ave Clinic,Federal Way,WA,0.0,Neutral,Passive,1510079400.0
a2p3g000000KzuuAAC,they are very good about returning calls,12-05-2020,8,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.4927,Positive,Passive,1589221800.0
a2p1U000000RpqKQAS,i like the convenience of the location to my work and i like one provider who will keep track of all of my other providers etc   i was sick and they were able to help me and had the px right there so i didn t have to go to another place to fill my prescription ,04-12-2017,8,Arvada City of Arvada Clinic,Arvada,CO,0.5267,Positive,Passive,1512325800.0
a2p1U000000RtQEQA0,appt ease dr spends time thorough close to work,13-04-2017,8,Denver State Capitol Clinic,Denver,CO,0.3612,Positive,Passive,1492021800.0
a2p3g000000oRofAAE,i was in a lot of discomfort yesterday and appreciated the quick response,24-07-2020,7,Arvada City of Arvada Clinic,Arvada,CO,0.128,Positive,Passive,1595529000.0
a2p1U000000l8LBQAY,focus on preventative services   my lipids panel was not included my fasting blood work ,27-12-2019,8,Denver State Capitol Clinic,Denver,CO,0.0,Neutral,Passive,1577385000.0
a2p1U000000RqKhQAK,not sure,16-05-2016,6,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.0,Neutral,Detractor,1463337000.0
a2p3g000000LAfOAAW,it is a good set up if you can get it for free through the state  as i can  i was in need of a primary care doctor and wanted an actual doctor  not a nurse practitioner  and i was struggling to find one through my insurance company ,24-06-2020,7,Arvada City of Arvada Clinic,Arvada,CO,0.765,Positive,Passive,1592937000.0
a2p3g000000oeYqAAI,i don t have enough experience with paladina to make a recommendation yet ,19-08-2020,6,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.0,Neutral,Detractor,1597775400.0
a2p3g000000KzC1AAK,no copay like my provider,04-02-2020,8,North Canton Lauby Rd,North Canton,OH,0.5122,Positive,Passive,1580754600.0
a2p1U000000RtQRQA0,quick appointments  personalized care  low cost,02-05-2017,8,Mentor Great Lakes Plaza Clinic,Mentor,OH,0.2732,Positive,Passive,1493663400.0
a2p1U000000RqR1QAK,great customer service by the doctor  but a little delayed in getting test results back in a timely manner,23-07-2015,4,Arvada City of Arvada Clinic,Arvada,CO,0.1629,Positive,Detractor,1437589800.0
a2p3g000000qQgvAAE,the experience so far has been positive and less expensive than my prior insurance plan ,12-02-2021,8,Grand Junction Trailhead Clinic,Grand Junction,CO,0.5574,Positive,Passive,1613068200.0
a2p4w000002NzYGAA0,minimizes healthcare costs  convenient on site clinic  know and like the staff,16-09-2021,8,Oconomowoc Sentry Equipment Clinic,Oconomowoc,WI,0.3612,Positive,Passive,1631730600.0
a2p3g000000qZqKAAU,a confirmation of appointment came at      and telling the appointment was at     ,25-02-2021,6,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.0,Neutral,Detractor,1614191400.0
a2p3g000000qhtWAAQ,ease of appt and time,09-03-2021,8,Akron-White Pond Drive Clinic,Akron,OH,0.3612,Positive,Passive,1615228200.0
a2p4w000001ptvbAAA,i wish the practice was affiliated with a hospital  otherwise  it would be a    ,09-04-2021,8,Clifton Brighton Road Office,Clifton,NJ,0.4019,Positive,Passive,1617906600.0
a2p4w000001pnTlAAI,maybe not sure of service yet,28-03-2021,5,Altais Salinas North Main Street,Salinas,CA,0.0,Neutral,Detractor,1616869800.0
a2p4w000002Jp51AAC,i feel like my doctor spent the majority of my time trying to convince me these covid injections are safe and my reason for this visit had nothing to do with these injections  i will never inject that poison into my body  my creator made me perfectly and i have absolute zero fear about any virus ,27-04-2021,3,Denver Lowry Medical Plaza Clinic,Denver,CO,0.882,Positive,Detractor,1619461800.0
a2p4w000002JyhTAAS,good program,10-05-2021,8,Sussex Beer Capitol Clinic,Sussex,WI,0.4404,Positive,Passive,1620585000.0
a2p4w000002JxpRAAS,friendly  professional staff   very enjoyable bedside manner   it was my wifes first visit to dr  davidson and she  was quite comfortable and enjoyed the care ,10-05-2021,8,Pueblo West Generations Primary Care,Pueblo West,CO,0.9497,Positive,Passive,1620585000.0
a2p4w000002Jyi7AAC,they re accessible  and so far  they ve had good staff,10-05-2021,8,Denver 15th Street Clinic,Denver,CO,0.4404,Positive,Passive,1620585000.0
a2p3g000000qcpjAAA,great doctor  location is awesome,02-03-2021,8,Denver 15th Street Clinic,Denver,CO,0.8481,Positive,Passive,1614623400.0
a2p4w000002JqAHAA0,not everyone has access to this concierge service,28-04-2021,8,Arvada City of Arvada Clinic,Arvada,CO,0.0,Neutral,Passive,1619548200.0
a2p4w000001prRyAAI,i think it would fit our family s needs ,02-04-2021,8,Altais Monterey Ryan Ranch,Monterey,CA,0.3612,Positive,Passive,1617301800.0
a2p4w000001piMfAAI,i do not know whether they have a preferred clinic or physician elsewhere outside of paladina ,21-03-2021,5,Puyallup Meeker's Landing Clinic,Puyallup,WA,0.0,Neutral,Detractor,1616265000.0
a2p4w000001pxriAAA,convenience,15-04-2021,8,Denver Lowry Medical Plaza Clinic,Denver,CO,0.0,Neutral,Passive,1618425000.0
a2p3g000000qnlTAAQ,doctor seemed attentive and knowledgeable ,17-03-2021,8,Tacoma Health Center,Tacoma,WA,0.0,Positive,Passive,1615919400.0
a2p3g000000qiseAAA,handy clinic location  i liked the doctor  hate the portal ,10-03-2021,7,Denver Lowry Medical Plaza Clinic,Denver,CO,0.2263,Positive,Passive,1615314600.0
a2p3g000000qZqjAAE,having to constantly go to another facility for imaging is garbage  nice to have multiple locations though,25-02-2021,5,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.4215,Positive,Detractor,1614191400.0
a2p4w000002JtZAAA0,can get in for an appointment and take care of basics  practitioners show interest in patient wellbeing  some limitations but good program overall ,02-05-2021,8,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.7876,Positive,Passive,1619893800.0
a2p3g000000qolZAAQ,i ve yet to have an in person appointment  but i ve been very impressed with the ease of reaching a provider  and the professional  prompt care i received over the phone ,19-03-2021,8,Denver Lowry Medical Plaza Clinic,Denver,CO,0.9365,Positive,Passive,1616092200.0
a2p4w000002K0d9AAC,if one is under    it is a great option to have but since the over    people are not served by everside  that makes it not as useful ,12-05-2021,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.1429,Positive,Passive,1620757800.0
a2p4w000001pkH8AAI,the doctor that saw me that day  could of been more personable,23-03-2021,7,Clifton Brighton Road Office,Clifton,NJ,0.0,Positive,Passive,1616437800.0
a2p1U000000RpaXQAS,convenient location  timely and quality service ,28-08-2017,8,Mentor Great Lakes Plaza Clinic,Mentor,OH,0.4404,Positive,Passive,1503858600.0
a2p3g000000KysqAAC,good service,22-01-2020,8,Denver Lowry Medical Plaza Clinic,Denver,CO,0.4404,Positive,Passive,1579631400.0
a2p1U000000RprrQAC,good experience  quick follow up ,22-01-2018,7,Arvada City of Arvada Clinic,Arvada,CO,0.6486,Positive,Passive,1516559400.0
